Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Failed And Success,,,,2023-11-16 23:27:35,2023-11-16 23:28:05,30.055s,PASSED
,,,,,,,
Test Cases/TC01_Register Success,,"- An automation script to help user getting started with Mobile automation testing.
- Script Content: Click ""START ALARM SERVICE"" and click ""STOP ALARM SERVICE"", verify alert show is correct",,2023-11-16 23:27:36,2023-11-16 23:28:05,29.567s,PASSED
"comment(""Register Success"")",,,,2023-11-16 23:27:36,2023-11-16 23:27:36,0.073s,PASSED
"appPath = relativeToAbsolutePath(G_AndroidApp, getProjectDir())",,Get full directory's path of android application,,2023-11-16 23:27:36,2023-11-16 23:27:36,0.199s,PASSED
"startApplication(appPath, false)",,,,2023-11-16 23:27:36,2023-11-16 23:27:50,13.647s,PASSED
"tap(findTestObject(""Object Repository/Demo/Add - Button""), 10)",,,,2023-11-16 23:27:50,2023-11-16 23:27:51,0.582s,PASSED
"setText(findTestObject(""Object Repository/Demo/Name - Text Input""), ""DDL AUTOMATION"", 10)",,,,2023-11-16 23:27:51,2023-11-16 23:27:52,1.309s,PASSED
"setText(findTestObject(""Object Repository/Demo/Phone - Text Input""), ""0857623527283"", 10)",,,,2023-11-16 23:27:52,2023-11-16 23:27:53,1.593s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Phone - Text Input""), ""0813623527283"", 10)",,,,2023-11-16 23:27:53,2023-11-16 23:27:55,1.543s,PASSED
"setText(findTestObject(""Object Repository/Demo/Email - Text Input""), ""AUTOMATION@DDL.COM"", 10)",,,,2023-11-16 23:27:55,2023-11-16 23:27:57,1.583s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Email - Text Input""), ""ROBOT@DDL.COM"", 10)",,,,2023-11-16 23:27:57,2023-11-16 23:27:58,1.580s,PASSED
"setText(findTestObject(""Object Repository/Demo/Allergies - Text Input""), ""TEST AUTOMATION"", 10)",,,,2023-11-16 23:27:58,2023-11-16 23:28:00,1.610s,PASSED
"setText(findTestObject(""Object Repository/Demo/Notes - Text Input""), ""AUTOMATION"", 10)",,,,2023-11-16 23:28:00,2023-11-16 23:28:01,1.357s,PASSED
"tap(findTestObject(""Object Repository/Demo/Save - Button""), 10)",,,,2023-11-16 23:28:01,2023-11-16 23:28:02,0.583s,PASSED
"takeScreenshot(""/Users/ddl02/Desktop/Screenshot/a.png"")",,,,2023-11-16 23:28:02,2023-11-16 23:28:02,0.498s,PASSED
delay(3),,,,2023-11-16 23:28:02,2023-11-16 23:28:05,3.023s,PASSED
