Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Failed And Success,,,,2023-11-17 00:35:21,2023-11-17 00:35:53,31.786s,PASSED
,,,,,,,
Test Cases/TC01_Register Success,,"- An automation script to help user getting started with Mobile automation testing.
- Script Content: Click ""START ALARM SERVICE"" and click ""STOP ALARM SERVICE"", verify alert show is correct",,2023-11-17 00:35:21,2023-11-17 00:35:53,31.333s,PASSED
"comment(""Register Success"")",,,,2023-11-17 00:35:22,2023-11-17 00:35:22,0.076s,PASSED
"appPath = relativeToAbsolutePath(G_AndroidApp, getProjectDir())",,Get full directory's path of android application,,2023-11-17 00:35:22,2023-11-17 00:35:22,0.209s,PASSED
"startApplication(appPath, false)",,,,2023-11-17 00:35:22,2023-11-17 00:35:38,16.023s,PASSED
"tap(findTestObject(""Object Repository/Demo/Add - Button""), 10)",,,,2023-11-17 00:35:38,2023-11-17 00:35:39,0.567s,PASSED
"setText(findTestObject(""Object Repository/Demo/Name - Text Input""), ""DDL AUTOMATION"", 10)",,,,2023-11-17 00:35:39,2023-11-17 00:35:40,1.889s,PASSED
"setText(findTestObject(""Object Repository/Demo/Phone - Text Input""), ""0857623527283"", 10)",,,,2023-11-17 00:35:40,2023-11-17 00:35:42,1.093s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Phone - Text Input""), ""0813623527283"", 10)",,,,2023-11-17 00:35:42,2023-11-17 00:35:43,1.089s,PASSED
"setText(findTestObject(""Object Repository/Demo/Email - Text Input""), ""AUTOMATION@DDL.COM"", 10)",,,,2023-11-17 00:35:43,2023-11-17 00:35:44,1.094s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Email - Text Input""), ""ROBOT@DDL.COM"", 10)",,,,2023-11-17 00:35:44,2023-11-17 00:35:45,1.574s,PASSED
"setText(findTestObject(""Object Repository/Demo/Allergies - Text Input""), ""TEST AUTOMATION"", 10)",,,,2023-11-17 00:35:45,2023-11-17 00:35:47,1.602s,PASSED
"setText(findTestObject(""Object Repository/Demo/Notes - Text Input""), ""AUTOMATION"", 10)",,,,2023-11-17 00:35:47,2023-11-17 00:35:49,1.636s,PASSED
"tap(findTestObject(""Object Repository/Demo/Save - Button""), 10)",,,,2023-11-17 00:35:49,2023-11-17 00:35:49,0.598s,PASSED
"takeScreenshot(""/Users/ddl02/Desktop/Screenshot/a.png"")",,,,2023-11-17 00:35:49,2023-11-17 00:35:50,0.440s,PASSED
delay(3),,,,2023-11-17 00:35:50,2023-11-17 00:35:53,3.024s,PASSED
