Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Visium Device 2,,,,2023-11-24 14:44:36,2023-11-24 14:46:49,2m - 13.124s,ERROR
,,,,,,,
Test Cases/TC01_Register Success - Device 2,,"- An automation script to help user getting started with Mobile automation testing.
- Script Content: Click ""START ALARM SERVICE"" and click ""STOP ALARM SERVICE"", verify alert show is correct",,2023-11-24 14:44:36,2023-11-24 14:46:49,2m - 12.913s,ERROR
"visiumFarmHub = ""https://farmdemo.visiumlabs.com/wd/hub""",,,,2023-11-24 14:44:36,2023-11-24 14:44:36,0.001s,PASSED
capabilities = new org.openqa.selenium.remote.DesiredCapabilities(),,,,2023-11-24 14:44:36,2023-11-24 14:44:36,0.018s,PASSED
"capabilities.setCapability(""deviceName"", ""9321f298"")",,,,2023-11-24 14:44:36,2023-11-24 14:44:36,0.004s,PASSED
"capabilities.setCapability(""automationName"", ""uiautomator2"")",,,,2023-11-24 14:44:36,2023-11-24 14:44:36,0.002s,PASSED
"capabilities.setCapability(""platformVersion"", ""8.1.0"")",,,,2023-11-24 14:44:36,2023-11-24 14:44:36,0.001s,PASSED
"capabilities.setCapability(""platformName"", ""ANDROID"")",,,,2023-11-24 14:44:36,2023-11-24 14:44:36,0.001s,PASSED
"capabilities.setCapability(""udid"", ""9321f298"")",,,,2023-11-24 14:44:36,2023-11-24 14:44:36,0.000s,PASSED
"capabilities.setCapability(""vf:accessKey"", ""brian:54121be2-680f-4acc-b2fd-13228ce956f6"")",,,,2023-11-24 14:44:36,2023-11-24 14:44:36,0.001s,PASSED
"capabilities.setCapability(""vf:appId"", ""3309883"")",,,,2023-11-24 14:44:36,2023-11-24 14:44:36,0.001s,PASSED
"createMobileDriver(ANDROID_DRIVER, capabilities, new java.net.URL(visiumFarmHub))",,,,2023-11-24 14:44:36,2023-11-24 14:44:57,21.046s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView""), 100)",,,,2023-11-24 14:44:57,2023-11-24 14:45:03,6.194s,PASSED
"setText(findTestObject(""Object Repository/Demo/Name - Text Input""), ""DDL AUTOMATION"", 10)",,,,2023-11-24 14:45:03,2023-11-24 14:45:11,7.718s,PASSED
"setText(findTestObject(""Object Repository/Demo/Phone - Text Input""), ""0857623527283"", 10)",,,,2023-11-24 14:45:11,2023-11-24 14:45:18,7.320s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Phone - Text Input""), ""0813623527283"", 10)",,,,2023-11-24 14:45:18,2023-11-24 14:45:25,6.680s,PASSED
"setText(findTestObject(""Object Repository/Demo/Email - Text Input""), ""AUTOMATION@DDL.COM"", 10)",,,,2023-11-24 14:45:25,2023-11-24 14:45:32,7.093s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Email - Text Input""), ""ROBOT@DDL.COM"", 10)",,,,2023-11-24 14:45:32,2023-11-24 14:45:38,6.180s,PASSED
"setText(findTestObject(""Object Repository/Demo/Allergies - Text Input""), ""TEST AUTOMATION"", 10)",,,,2023-11-24 14:45:38,2023-11-24 14:46:49,1m - 10.283s,ERROR
