Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest,,,,2023-11-03 17:14:41,2023-11-03 17:15:13,31.071s,PASSED
,,,,,,,
Test Cases/TC01_Register Success,,"- An automation script to help user getting started with Mobile automation testing.
- Script Content: Click ""START ALARM SERVICE"" and click ""STOP ALARM SERVICE"", verify alert show is correct",,2023-11-03 17:14:42,2023-11-03 17:15:13,30.559s,PASSED
"comment(""Register Success"")",,,,2023-11-03 17:14:43,2023-11-03 17:14:43,0.081s,PASSED
"appPath = relativeToAbsolutePath(G_AndroidApp, getProjectDir())",,Get full directory's path of android application,,2023-11-03 17:14:43,2023-11-03 17:14:43,0.291s,PASSED
"startApplication(appPath, false)",,,,2023-11-03 17:14:43,2023-11-03 17:14:57,13.980s,PASSED
"tap(findTestObject(""Object Repository/Demo/Add - Button""), 10)",,,,2023-11-03 17:14:57,2023-11-03 17:14:58,0.777s,PASSED
"setText(findTestObject(""Object Repository/Demo/Name - Text Input""), ""DDL AUTOMATION"", 10)",,,,2023-11-03 17:14:58,2023-11-03 17:15:00,1.856s,PASSED
"setText(findTestObject(""Object Repository/Demo/Phone - Text Input""), ""0857623527283"", 10)",,,,2023-11-03 17:15:00,2023-11-03 17:15:01,1.149s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Phone - Text Input""), ""0813623527283"", 10)",,,,2023-11-03 17:15:01,2023-11-03 17:15:02,1.582s,PASSED
"setText(findTestObject(""Object Repository/Demo/Email - Text Input""), ""AUTOMATION@DDL.COM"", 10)",,,,2023-11-03 17:15:02,2023-11-03 17:15:03,1.091s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Email - Text Input""), ""ROBOT@DDL.COM"", 10)",,,,2023-11-03 17:15:03,2023-11-03 17:15:05,1.082s,PASSED
"setText(findTestObject(""Object Repository/Demo/Allergies - Text Input""), ""TEST AUTOMATION"", 10)",,,,2023-11-03 17:15:05,2023-11-03 17:15:06,1.082s,PASSED
"setText(findTestObject(""Object Repository/Demo/Notes - Text Input""), ""AUTOMATION"", 10)",,,,2023-11-03 17:15:06,2023-11-03 17:15:07,1.618s,PASSED
"tap(findTestObject(""Object Repository/Demo/Save - Button""), 10)",,,,2023-11-03 17:15:07,2023-11-03 17:15:08,0.647s,PASSED
"takeScreenshot(""/Users/ddl02/Desktop/Screenshot/a.png"")",,,,2023-11-03 17:15:08,2023-11-03 17:15:09,1.607s,PASSED
delay(3),,,,2023-11-03 17:15:09,2023-11-03 17:15:13,3.036s,PASSED
