Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Visium Device 1,,,,2023-11-27 14:53:02,2023-11-27 14:54:35,1m - 33.068s,PASSED
,,,,,,,
Test Cases/TC01_Register Success - Device 1,,"- An automation script to help user getting started with Mobile automation testing.
- Script Content: Click ""START ALARM SERVICE"" and click ""STOP ALARM SERVICE"", verify alert show is correct",,2023-11-27 14:53:02,2023-11-27 14:54:35,1m - 32.846s,PASSED
Start listener action : sampleBeforeTestCase,,,,2023-11-27 14:53:02,2023-11-27 14:53:22,19.517s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView""), 100)",,,,2023-11-27 14:53:22,2023-11-27 14:53:29,6.818s,PASSED
"setText(findTestObject(""Object Repository/Demo/Name - Text Input""), ""DDL AUTOMATION"", 10)",,,,2023-11-27 14:53:29,2023-11-27 14:53:37,7.899s,PASSED
"setText(findTestObject(""Object Repository/Demo/Phone - Text Input""), ""0857623527283"", 10)",,,,2023-11-27 14:53:37,2023-11-27 14:53:47,10.288s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Phone - Text Input""), ""0813623527283"", 10)",,,,2023-11-27 14:53:47,2023-11-27 14:53:56,8.311s,PASSED
"setText(findTestObject(""Object Repository/Demo/Email - Text Input""), ""AUTOMATION@DDL.COM"", 10)",,,,2023-11-27 14:53:56,2023-11-27 14:54:02,6.407s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Email - Text Input""), ""ROBOT@DDL.COM"", 10)",,,,2023-11-27 14:54:02,2023-11-27 14:54:09,7.397s,PASSED
"setText(findTestObject(""Object Repository/Demo/Allergies - Text Input""), ""TEST AUTOMATION"", 10)",,,,2023-11-27 14:54:09,2023-11-27 14:54:17,7.770s,PASSED
"setText(findTestObject(""Object Repository/Demo/Notes - Text Input""), ""AUTOMATION"", 10)",,,,2023-11-27 14:54:17,2023-11-27 14:54:25,7.729s,PASSED
"tap(findTestObject(""Object Repository/Demo/Save - Button""), 10)",,,,2023-11-27 14:54:25,2023-11-27 14:54:30,5.466s,PASSED
delay(5),,,,2023-11-27 14:54:30,2023-11-27 14:54:35,5.022s,PASSED
