Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Failed And Success,,,,2023-11-22 15:32:35,2023-11-22 15:33:12,37.579s,PASSED
,,,,,,,
Test Cases/TC01_Register Success,,"- An automation script to help user getting started with Mobile automation testing.
- Script Content: Click ""START ALARM SERVICE"" and click ""STOP ALARM SERVICE"", verify alert show is correct",,2023-11-22 15:32:35,2023-11-22 15:33:12,37.098s,PASSED
"comment(""Register Success"")",,,,2023-11-22 15:32:35,2023-11-22 15:32:35,0.075s,PASSED
"appPath = relativeToAbsolutePath(G_AndroidApp, getProjectDir())",,Get full directory's path of android application,,2023-11-22 15:32:35,2023-11-22 15:32:36,0.224s,PASSED
"startApplication(appPath, false)",,,,2023-11-22 15:32:36,2023-11-22 15:32:56,20.257s,PASSED
"tap(findTestObject(""Object Repository/Demo/Add - Button""), 10)",,,,2023-11-22 15:32:56,2023-11-22 15:32:57,0.643s,PASSED
"setText(findTestObject(""Object Repository/Demo/Name - Text Input""), ""DDL AUTOMATION"", 10)",,,,2023-11-22 15:32:57,2023-11-22 15:32:59,2.107s,PASSED
"setText(findTestObject(""Object Repository/Demo/Phone - Text Input""), ""0857623527283"", 10)",,,,2023-11-22 15:32:59,2023-11-22 15:33:00,1.106s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Phone - Text Input""), ""0813623527283"", 10)",,,,2023-11-22 15:33:00,2023-11-22 15:33:02,2.069s,PASSED
"setText(findTestObject(""Object Repository/Demo/Email - Text Input""), ""AUTOMATION@DDL.COM"", 10)",,,,2023-11-22 15:33:02,2023-11-22 15:33:03,1.595s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Email - Text Input""), ""ROBOT@DDL.COM"", 10)",,,,2023-11-22 15:33:03,2023-11-22 15:33:05,1.600s,PASSED
"setText(findTestObject(""Object Repository/Demo/Allergies - Text Input""), ""TEST AUTOMATION"", 10)",,,,2023-11-22 15:33:05,2023-11-22 15:33:07,1.667s,PASSED
"setText(findTestObject(""Object Repository/Demo/Notes - Text Input""), ""AUTOMATION"", 10)",,,,2023-11-22 15:33:07,2023-11-22 15:33:08,1.108s,PASSED
"tap(findTestObject(""Object Repository/Demo/Save - Button""), 10)",,,,2023-11-22 15:33:08,2023-11-22 15:33:08,0.609s,PASSED
"takeScreenshot(""/Users/ddl02/Desktop/Screenshot/a.png"")",,,,2023-11-22 15:33:08,2023-11-22 15:33:09,0.586s,PASSED
delay(3),,,,2023-11-22 15:33:09,2023-11-22 15:33:12,3.033s,PASSED
