Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Visium Device 1,,,,2023-11-24 11:49:01,2023-11-24 11:50:28,1m - 27.211s,PASSED
,,,,,,,
Test Cases/TC01_Register Success - Device 1,,"- An automation script to help user getting started with Mobile automation testing.
- Script Content: Click ""START ALARM SERVICE"" and click ""STOP ALARM SERVICE"", verify alert show is correct",,2023-11-24 11:49:01,2023-11-24 11:50:28,1m - 26.982s,PASSED
"visiumFarmHub = ""https://farmdemo.visiumlabs.com/wd/hub""",,,,2023-11-24 11:49:02,2023-11-24 11:49:02,0.001s,PASSED
capabilities = new org.openqa.selenium.remote.DesiredCapabilities(),,,,2023-11-24 11:49:02,2023-11-24 11:49:02,0.023s,PASSED
"capabilities.setCapability(""deviceName"", ""52003cffeced945f"")",,,,2023-11-24 11:49:02,2023-11-24 11:49:02,0.002s,PASSED
"capabilities.setCapability(""automationName"", ""uiautomator2"")",,,,2023-11-24 11:49:02,2023-11-24 11:49:02,0.001s,PASSED
"capabilities.setCapability(""platformVersion"", ""8.0.0"")",,,,2023-11-24 11:49:02,2023-11-24 11:49:02,0.001s,PASSED
"capabilities.setCapability(""platformName"", ""ANDROID"")",,,,2023-11-24 11:49:02,2023-11-24 11:49:02,0.001s,PASSED
"capabilities.setCapability(""udid"", ""52003cffeced945f"")",,,,2023-11-24 11:49:02,2023-11-24 11:49:02,0.001s,PASSED
"capabilities.setCapability(""vf:accessKey"", ""brian:54121be2-680f-4acc-b2fd-13228ce956f6"")",,,,2023-11-24 11:49:02,2023-11-24 11:49:02,0.001s,PASSED
"capabilities.setCapability(""vf:appId"", ""3309883"")",,,,2023-11-24 11:49:02,2023-11-24 11:49:02,0.001s,PASSED
"createMobileDriver(ANDROID_DRIVER, capabilities, new java.net.URL(visiumFarmHub))",,,,2023-11-24 11:49:02,2023-11-24 11:49:19,17.624s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView""), 100)",,,,2023-11-24 11:49:19,2023-11-24 11:49:26,6.793s,PASSED
"setText(findTestObject(""Object Repository/Demo/Name - Text Input""), ""DDL AUTOMATION"", 10)",,,,2023-11-24 11:49:26,2023-11-24 11:49:34,7.411s,PASSED
"setText(findTestObject(""Object Repository/Demo/Phone - Text Input""), ""0857623527283"", 10)",,,,2023-11-24 11:49:34,2023-11-24 11:49:41,7.519s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Phone - Text Input""), ""0813623527283"", 10)",,,,2023-11-24 11:49:41,2023-11-24 11:49:48,7.095s,PASSED
"setText(findTestObject(""Object Repository/Demo/Email - Text Input""), ""AUTOMATION@DDL.COM"", 10)",,,,2023-11-24 11:49:48,2023-11-24 11:49:55,6.339s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Email - Text Input""), ""ROBOT@DDL.COM"", 10)",,,,2023-11-24 11:49:55,2023-11-24 11:50:02,7.249s,PASSED
"setText(findTestObject(""Object Repository/Demo/Allergies - Text Input""), ""TEST AUTOMATION"", 10)",,,,2023-11-24 11:50:02,2023-11-24 11:50:08,6.352s,PASSED
"setText(findTestObject(""Object Repository/Demo/Notes - Text Input""), ""AUTOMATION"", 10)",,,,2023-11-24 11:50:08,2023-11-24 11:50:16,7.773s,PASSED
"tap(findTestObject(""Object Repository/Demo/Save - Button""), 10)",,,,2023-11-24 11:50:16,2023-11-24 11:50:23,7.424s,PASSED
delay(5),,,,2023-11-24 11:50:23,2023-11-24 11:50:28,5.027s,PASSED
