Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest,,,,2023-11-03 17:14:59,2023-11-03 17:15:31,31.456s,PASSED
,,,,,,,
Test Cases/TC01_Register Success,,"- An automation script to help user getting started with Mobile automation testing.
- Script Content: Click ""START ALARM SERVICE"" and click ""STOP ALARM SERVICE"", verify alert show is correct",,2023-11-03 17:15:00,2023-11-03 17:15:31,30.962s,PASSED
"comment(""Register Success"")",,,,2023-11-03 17:15:00,2023-11-03 17:15:00,0.071s,PASSED
"appPath = relativeToAbsolutePath(G_AndroidApp, getProjectDir())",,Get full directory's path of android application,,2023-11-03 17:15:00,2023-11-03 17:15:01,0.255s,PASSED
"startApplication(appPath, false)",,,,2023-11-03 17:15:01,2023-11-03 17:15:15,13.817s,PASSED
"tap(findTestObject(""Object Repository/Demo/Add - Button""), 10)",,,,2023-11-03 17:15:15,2023-11-03 17:15:15,0.711s,PASSED
"setText(findTestObject(""Object Repository/Demo/Name - Text Input""), ""DDL AUTOMATION"", 10)",,,,2023-11-03 17:15:15,2023-11-03 17:15:17,2.024s,PASSED
"setText(findTestObject(""Object Repository/Demo/Phone - Text Input""), ""0857623527283"", 10)",,,,2023-11-03 17:15:17,2023-11-03 17:15:19,1.612s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Phone - Text Input""), ""0813623527283"", 10)",,,,2023-11-03 17:15:19,2023-11-03 17:15:20,1.604s,PASSED
"setText(findTestObject(""Object Repository/Demo/Email - Text Input""), ""AUTOMATION@DDL.COM"", 10)",,,,2023-11-03 17:15:20,2023-11-03 17:15:22,1.843s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Email - Text Input""), ""ROBOT@DDL.COM"", 10)",,,,2023-11-03 17:15:22,2023-11-03 17:15:24,1.595s,PASSED
"setText(findTestObject(""Object Repository/Demo/Allergies - Text Input""), ""TEST AUTOMATION"", 10)",,,,2023-11-03 17:15:24,2023-11-03 17:15:25,1.122s,PASSED
"setText(findTestObject(""Object Repository/Demo/Notes - Text Input""), ""AUTOMATION"", 10)",,,,2023-11-03 17:15:25,2023-11-03 17:15:27,1.584s,PASSED
"tap(findTestObject(""Object Repository/Demo/Save - Button""), 10)",,,,2023-11-03 17:15:27,2023-11-03 17:15:27,0.619s,PASSED
"takeScreenshot(""/Users/ddl02/Desktop/Screenshot/a.png"")",,,,2023-11-03 17:15:27,2023-11-03 17:15:28,0.505s,PASSED
delay(3),,,,2023-11-03 17:15:28,2023-11-03 17:15:31,3.023s,PASSED
