Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Visium Device 1,,,,2023-11-27 14:44:38,2023-11-27 14:46:16,1m - 38.231s,PASSED
,,,,,,,
Test Cases/TC01_Register Success - Device 1,,"- An automation script to help user getting started with Mobile automation testing.
- Script Content: Click ""START ALARM SERVICE"" and click ""STOP ALARM SERVICE"", verify alert show is correct",,2023-11-27 14:44:38,2023-11-27 14:46:16,1m - 37.995s,PASSED
Start listener action : sampleBeforeTestCase,,,,2023-11-27 14:44:38,2023-11-27 14:44:57,18.422s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView""), 100)",,,,2023-11-27 14:44:57,2023-11-27 14:45:04,7.317s,PASSED
"setText(findTestObject(""Object Repository/Demo/Name - Text Input""), ""DDL AUTOMATION"", 10)",,,,2023-11-27 14:45:04,2023-11-27 14:45:12,7.465s,PASSED
"setText(findTestObject(""Object Repository/Demo/Phone - Text Input""), ""0857623527283"", 10)",,,,2023-11-27 14:45:12,2023-11-27 14:45:19,7.761s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Phone - Text Input""), ""0813623527283"", 10)",,,,2023-11-27 14:45:19,2023-11-27 14:45:27,7.353s,PASSED
"setText(findTestObject(""Object Repository/Demo/Email - Text Input""), ""AUTOMATION@DDL.COM"", 10)",,,,2023-11-27 14:45:27,2023-11-27 14:45:34,7.526s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Email - Text Input""), ""ROBOT@DDL.COM"", 10)",,,,2023-11-27 14:45:34,2023-11-27 14:45:43,8.677s,PASSED
"setText(findTestObject(""Object Repository/Demo/Allergies - Text Input""), ""TEST AUTOMATION"", 10)",,,,2023-11-27 14:45:43,2023-11-27 14:45:53,9.697s,PASSED
"setText(findTestObject(""Object Repository/Demo/Notes - Text Input""), ""AUTOMATION"", 10)",,,,2023-11-27 14:45:53,2023-11-27 14:46:02,9.050s,PASSED
"tap(findTestObject(""Object Repository/Demo/Save - Button""), 10)",,,,2023-11-27 14:46:02,2023-11-27 14:46:11,9.466s,PASSED
delay(5),,,,2023-11-27 14:46:11,2023-11-27 14:46:16,5.023s,PASSED
