Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest,,,,2023-11-03 17:12:58,2023-11-03 17:13:35,37.256s,PASSED
,,,,,,,
Test Cases/TC01_Register Success,,"- An automation script to help user getting started with Mobile automation testing.
- Script Content: Click ""START ALARM SERVICE"" and click ""STOP ALARM SERVICE"", verify alert show is correct",,2023-11-03 17:12:58,2023-11-03 17:13:35,36.799s,PASSED
"comment(""Register Success"")",,,,2023-11-03 17:12:59,2023-11-03 17:12:59,0.075s,PASSED
"appPath = relativeToAbsolutePath(G_AndroidApp, getProjectDir())",,Get full directory's path of android application,,2023-11-03 17:12:59,2023-11-03 17:12:59,0.228s,PASSED
"startApplication(appPath, false)",,,,2023-11-03 17:12:59,2023-11-03 17:13:18,18.918s,PASSED
"tap(findTestObject(""Object Repository/Demo/Add - Button""), 10)",,,,2023-11-03 17:13:18,2023-11-03 17:13:19,0.746s,PASSED
"setText(findTestObject(""Object Repository/Demo/Name - Text Input""), ""DDL AUTOMATION"", 10)",,,,2023-11-03 17:13:19,2023-11-03 17:13:20,1.488s,PASSED
"setText(findTestObject(""Object Repository/Demo/Phone - Text Input""), ""0857623527283"", 10)",,,,2023-11-03 17:13:20,2023-11-03 17:13:22,1.607s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Phone - Text Input""), ""0813623527283"", 10)",,,,2023-11-03 17:13:22,2023-11-03 17:13:24,2.274s,PASSED
"setText(findTestObject(""Object Repository/Demo/Email - Text Input""), ""AUTOMATION@DDL.COM"", 10)",,,,2023-11-03 17:13:24,2023-11-03 17:13:26,1.672s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Email - Text Input""), ""ROBOT@DDL.COM"", 10)",,,,2023-11-03 17:13:26,2023-11-03 17:13:28,1.967s,PASSED
"setText(findTestObject(""Object Repository/Demo/Allergies - Text Input""), ""TEST AUTOMATION"", 10)",,,,2023-11-03 17:13:28,2023-11-03 17:13:29,1.322s,PASSED
"setText(findTestObject(""Object Repository/Demo/Notes - Text Input""), ""AUTOMATION"", 10)",,,,2023-11-03 17:13:29,2023-11-03 17:13:31,1.828s,PASSED
"tap(findTestObject(""Object Repository/Demo/Save - Button""), 10)",,,,2023-11-03 17:13:31,2023-11-03 17:13:31,0.647s,PASSED
"takeScreenshot(""/Users/ddl02/Desktop/Screenshot/a.png"")",,,,2023-11-03 17:13:31,2023-11-03 17:13:32,0.634s,PASSED
delay(3),,,,2023-11-03 17:13:32,2023-11-03 17:13:35,3.019s,PASSED
