Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest,,,,2023-11-07 14:58:54,2023-11-07 14:59:24,29.672s,PASSED
,,,,,,,
Test Cases/TC01_Register Success,,"- An automation script to help user getting started with Mobile automation testing.
- Script Content: Click ""START ALARM SERVICE"" and click ""STOP ALARM SERVICE"", verify alert show is correct",,2023-11-07 14:58:54,2023-11-07 14:59:24,29.235s,PASSED
"comment(""Register Success"")",,,,2023-11-07 14:58:55,2023-11-07 14:58:55,0.080s,PASSED
"appPath = relativeToAbsolutePath(G_AndroidApp, getProjectDir())",,Get full directory's path of android application,,2023-11-07 14:58:55,2023-11-07 14:58:55,0.235s,PASSED
"startApplication(appPath, false)",,,,2023-11-07 14:58:55,2023-11-07 14:59:08,12.654s,PASSED
"tap(findTestObject(""Object Repository/Demo/Add - Button""), 10)",,,,2023-11-07 14:59:08,2023-11-07 14:59:08,0.598s,PASSED
"setText(findTestObject(""Object Repository/Demo/Name - Text Input""), ""DDL AUTOMATION"", 10)",,,,2023-11-07 14:59:08,2023-11-07 14:59:10,1.965s,PASSED
"setText(findTestObject(""Object Repository/Demo/Phone - Text Input""), ""0857623527283"", 10)",,,,2023-11-07 14:59:10,2023-11-07 14:59:11,1.158s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Phone - Text Input""), ""0813623527283"", 10)",,,,2023-11-07 14:59:11,2023-11-07 14:59:13,1.629s,PASSED
"setText(findTestObject(""Object Repository/Demo/Email - Text Input""), ""AUTOMATION@DDL.COM"", 10)",,,,2023-11-07 14:59:13,2023-11-07 14:59:15,1.559s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Email - Text Input""), ""ROBOT@DDL.COM"", 10)",,,,2023-11-07 14:59:15,2023-11-07 14:59:16,1.621s,PASSED
"setText(findTestObject(""Object Repository/Demo/Allergies - Text Input""), ""TEST AUTOMATION"", 10)",,,,2023-11-07 14:59:16,2023-11-07 14:59:18,1.606s,PASSED
"setText(findTestObject(""Object Repository/Demo/Notes - Text Input""), ""AUTOMATION"", 10)",,,,2023-11-07 14:59:18,2023-11-07 14:59:19,1.620s,PASSED
"tap(findTestObject(""Object Repository/Demo/Save - Button""), 10)",,,,2023-11-07 14:59:19,2023-11-07 14:59:20,0.613s,PASSED
"takeScreenshot(""/Users/ddl02/Desktop/Screenshot/a.png"")",,,,2023-11-07 14:59:20,2023-11-07 14:59:21,0.472s,PASSED
delay(3),,,,2023-11-07 14:59:21,2023-11-07 14:59:24,3.028s,PASSED
